Module                  Size  Used by
tls                   114688  0
veth                   32768  0
nf_conntrack_netlink    49152  0
xt_nat                 16384  10
xt_tcpudp              20480  14
xt_conntrack           16384  3
xt_MASQUERADE          20480  5
nfnetlink              20480  2 nf_conntrack_netlink
xfrm_user              40960  1
xfrm_algo              16384  1 xfrm_user
xt_addrtype            16384  2
iptable_nat            16384  3
nf_nat                 49152  3 xt_nat,iptable_nat,xt_MASQUERADE
nf_conntrack          172032  5 xt_conntrack,nf_nat,xt_nat,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         16384  1 nf_conntrack
bpfilter               16384  0
binfmt_misc            24576  1
intel_rapl_msr         20480  0
intel_rapl_common      40960  1 intel_rapl_msr
rapl                   20480  0
snd_intel8x0           45056  0
snd_ac97_codec        180224  1 snd_intel8x0
ac97_bus               16384  1 snd_ac97_codec
joydev                 32768  0
snd_pcm               143360  2 snd_intel8x0,snd_ac97_codec
input_leds             16384  0
snd_timer              40960  1 snd_pcm
mac_hid                16384  0
snd                   106496  4 snd_intel8x0,snd_timer,snd_ac97_codec,snd_pcm
vboxguest              45056  0
soundcore              16384  1 snd
serio_raw              20480  0
sch_fq_codel           20480  2
dm_multipath           40960  0
scsi_dh_rdac           20480  0
overlay               151552  2
scsi_dh_emc            16384  0
scsi_dh_alua           20480  0
iptable_filter         16384  1
ip6table_filter        16384  0
ip6_tables             32768  1 ip6table_filter
br_netfilter           32768  0
bridge                307200  1 br_netfilter
stp                    16384  1 bridge
llc                    16384  2 bridge,stp
arp_tables             28672  0
ipmi_devintf           20480  0
ipmi_msghandler       122880  1 ipmi_devintf
msr                    16384  0
ramoops                32768  0
efi_pstore             16384  0
pstore_blk             16384  0
reed_solomon           28672  1 ramoops
pstore_zone            32768  1 pstore_blk
mtd                    77824  0
ip_tables              32768  2 iptable_filter,iptable_nat
x_tables               53248  11 ip6table_filter,xt_conntrack,iptable_filter,xt_tcpudp,xt_addrtype,xt_nat,ip6_tables,ip_tables,iptable_nat,xt_MASQUERADE,arp_tables
autofs4                49152  2
btrfs                1560576  0
blake2b_generic        20480  0
zstd_compress         229376  1 btrfs
raid10                 69632  0
raid456               163840  0
async_raid6_recov      24576  1 raid456
async_memcpy           20480  2 raid456,async_raid6_recov
async_pq               24576  2 raid456,async_raid6_recov
async_xor              20480  3 async_pq,raid456,async_raid6_recov
async_tx               20480  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    24576  2 async_xor,btrfs
raid6_pq              122880  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              16384  4 nf_conntrack,nf_nat,btrfs,raid456
raid1                  49152  0
raid0                  24576  0
multipath              20480  0
linear                 20480  0
hid_generic            16384  0
usbhid                 65536  0
hid                   151552  2 usbhid,hid_generic
crct10dif_pclmul       16384  1
crc32_pclmul           16384  0
ghash_clmulni_intel    16384  0
vmwgfx                368640  1
ttm                    86016  1 vmwgfx
drm_kms_helper        311296  1 vmwgfx
syscopyarea            16384  1 drm_kms_helper
sysfillrect            20480  1 drm_kms_helper
sysimgblt              16384  1 drm_kms_helper
fb_sys_fops            16384  1 drm_kms_helper
cec                    61440  1 drm_kms_helper
rc_core                65536  1 cec
aesni_intel           376832  0
crypto_simd            16384  1 aesni_intel
ahci                   45056  2
cryptd                 24576  2 crypto_simd,ghash_clmulni_intel
libahci                45056  1 ahci
i2c_piix4              32768  0
psmouse               176128  0
e1000                 159744  0
drm                   622592  4 vmwgfx,drm_kms_helper,ttm
pata_acpi              16384  0
video                  65536  0
